City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,luanda,-8.8368,13.2343,77.0,88,75,10.36,AO,1651374771
84,rubizhne,49.0123,38.3797,43.0,69,0,5.48,UA,1651374772
85,lebu,-37.6167,-73.65,49.17,82,9,13.44,CL,1651374773
86,mataura,-46.1927,168.8643,52.48,98,100,0.6,NZ,1651374773
87,bundaberg,-24.85,152.35,79.09,78,100,10.36,AU,1651374661
88,kahului,20.8947,-156.47,78.82,69,40,16.11,US,1651374774
89,hobart,-42.8794,147.3294,64.26,69,75,17.27,AU,1651374683
90,bonga,7.2833,36.2333,56.88,98,84,1.54,ET,1651374775
91,cidreira,-30.1811,-50.2056,63.72,94,100,4.76,BR,1651374775
92,makakilo city,21.3469,-158.0858,80.92,58,0,17.27,US,1651374776
93,sao joao da barra,-21.6403,-41.0511,72.12,87,21,4.03,BR,1651374776
94,sur,22.5667,59.5289,87.17,58,45,4.9,OM,1651374777
95,olafsvik,64.8945,-23.7142,43.92,88,100,14.83,IS,1651374778
96,bac lieu,9.285,105.7244,87.19,64,93,10.76,VN,1651374778
97,impfondo,1.6381,18.0667,70.75,84,82,2.17,CG,1651374779
98,sharlyk,52.9167,54.75,47.1,49,14,3.53,RU,1651374779
99,bilibino,68.0546,166.4372,21.72,68,17,1.9,RU,1651374780
100,lazaro cardenas,17.9583,-102.2,75.47,69,74,3.53,MX,1651374780
101,qom,34.6401,50.8764,66.2,53,1,2.04,IR,1651374781
102,pozo colorado,-23.4923,-58.7972,70.48,83,3,1.95,PY,1651374781
103,hofn,64.2539,-15.2082,48.36,51,41,8.41,IS,1651374782
104,moose factory,51.2585,-80.6094,36.19,89,13,6.04,CA,1651374783
105,russell,32.3502,-85.1999,67.96,91,81,3.71,US,1651374783
106,port-cartier,50.0334,-66.8654,37.74,85,100,10.31,CA,1651374784
107,bathsheba,13.2167,-59.5167,79.41,83,40,14.97,BB,1651374785
108,norman wells,65.282,-126.8329,45.09,73,13,11.36,CA,1651374785
109,verkhoyansk,67.5447,133.385,35.65,86,6,21.39,RU,1651374786
110,saint george,37.1041,-113.5841,79.39,11,0,6.91,US,1651374521
111,mehamn,71.0357,27.8492,28.38,65,100,16.89,NO,1651374787
112,cherskiy,68.75,161.3,26.91,75,100,10.98,RU,1651374787
113,saint-philippe,-21.3585,55.7679,74.79,78,27,6.67,RE,1651374788
114,pisco,-13.7,-76.2167,66.02,82,0,4.61,PE,1651374789
115,cape town,-33.9258,18.4232,61.92,80,3,3.0,ZA,1651374540
116,eyl,7.9803,49.8164,83.08,75,85,0.98,SO,1651374789
117,kabul,34.5,69.4167,71.1,23,63,1.05,AF,1651374636
118,ambunti,-4.2365,142.8448,91.94,54,97,1.48,PG,1651374790
119,kodiak,57.79,-152.4072,40.51,87,100,26.46,US,1651374746
120,roma,43.2128,-75.4557,41.38,63,0,4.61,US,1651374791
121,praia da vitoria,38.7333,-27.0667,57.76,90,3,3.78,PT,1651374791
122,nanortalik,60.1432,-45.2371,35.67,95,89,6.42,GL,1651374792
123,sahuaripa,29.05,-109.2333,76.77,11,100,6.51,MX,1651374792
124,hearst,49.6835,-83.6665,42.22,87,91,7.74,CA,1651374793
